GetName	0x08111E70
GetNewBulletin	0x08123830
GetNextItemIndexInRoom	0x0810D270
GetNextPlayer	0x08135760
GetNextPlayerAtSW	0x081075D0
GetNextPlayerAtServer	0x08101D20
GetNpcAroundNpcList	0x08104A20
GetNpcAroundPlayerList	0x08104870
GetNpcCurCamp	0x0811B260
GetNpcCurLife	0x080FBFF0
GetNpcCurMaxLife	0x080FBF70
GetNpcDropRateFile	0x080FFC70
GetNpcExpRate	0x081C0B50
GetNpcFightState	0x080FD9B0
GetNpcFreeCount	0x080FBDC0
GetNpcId	0x080FD920
GetNpcIdx	0x08110300
GetNpcKind	0x080FDA40
GetNpcLife	0x08117EF0
GetNpcName	0x08100040
GetNpcParam	0x081C0A00
GetNpcPos	0x081293F0
GetNpcPowerType	0x08120D50
GetNpcScript	0x080FFCF0
GetNpcSeries	0x080FE080
GetNpcSettingIdx	0x080FDE50
GetNpcTimer	0x08100170
GetNpcTong	0x0811A9C0
GetOnlineCommissionStatus	0x081091A0
GetOrgMaxDurability	0x08104FA0
GetPK	0x081103C0
GetPMParam	0x0812AD90
GetPartnerBagLevel	0x081143F0
GetPayTicket	0x080FD3B0
GetPayTicketCount	0x080FBBD0
GetPhyR	0x081128B0
GetPkReduceState	0x081094D0
GetPlatinaEquipIndex	0x080FEF70
GetPlatinaLevel	0x08100520
GetPlayerClientIP	0x08127EE0
GetPlayerCount	0x080FBCC0
GetPlayerEnteringTrap	0x08111370
GetPlayerFeature	0x080FDC80
GetPlayerFortuneRank	0x0810AB50
GetPlayerMagicAttrib	0x08119060
GetPlayerRev	0x08114730
GetPoisonCount	0x0810AE70
GetPoisonR	0x08112B50
GetPos	0x08129140
GetPotionCount	0x0810AE70
GetPrice2Station	0x08106620
GetPrice2WayPoint	0x081066A0
GetProductLanguge	0x080FFB90
GetProductRegion	0x080FFB30
GetProgressBarMaskEvent	0x080FBAF0
GetProp	0x0810F9F0
GetProtectTime	0x0810E460
GetPtMagicAttrExValue	0x08101070
GetPunish	0x0810F400
GetPvPKilledNum	0x08117720
GetQAnswer	0x08129FF0
GetQBeginTime	0x0812A500
GetQEndTime	0x0812A640
GetQuestion	0x0812A8C0
GetQuestionPrice	0x0812A3C0
GetQuestionTip	0x0812A780
GetRank	0x08110A70
GetRanking	0x08107920
GetRefuseLoginCount	0x0814EA40
GetRefuseLoginFlag	0x0814EAA0
GetRelaxTime	0x081110C0
GetRepairDurPrice	0x08127D20
GetRepute	0x08117230
GetRespect	0x08129790
GetRestAP	0x08111CC0
GetRestSP	0x08111C60
GetRestTime	0x08116370
GetRetScoreForGoldCoin	0x081185B0
GetRideState	0x08111730
GetRoleCreateDate	0x0810C2F0
GetRoleCreateTime	0x0810C210
GetRoleCreateTimeData	0x0810C1A0
GetRoleDataTransMark	0x0810C130
GetRoleEquipValue	0x08108590
GetRoomItems	0x0810D170
GetSaleMoney	0x08113420
GetSeries	0x08111F30
GetServerDate	0x0812A280
GetServerName	0x08106510
GetServiceMatchID	0x081065F0
GetSex	0x08112020
GetSignCodeSyncTime	0x0814E6F0
GetSignUpTongName	0x0812C690
GetSkillCount	0x0811C510
GetSkillExp	0x0812AB40
GetSkillId	0x08114A30
GetSkillMaxLevel	0x080FDAD0
GetSkillMaxLevelAddons	0x08108B20
GetSkillName	0x08129B70
GetSkillNextExp	0x0812AC50
GetSkillState	0x08125CB0
GetStallState	0x08107A50
GetStallTotal	0x080FBD70
GetStallTotalTax	0x080FBD20
GetStamina	0x08112170
GetStarLevel	0x080FCE80
GetStarStoneOnEquip	0x080FCA40
GetStation	0x08110DB0
GetStationCount	0x08110EF0
GetStationName	0x08110BD0
GetStationPos	0x08106070
GetStoneLevelOnEquip	0x080FC980
GetStrg	0x08111890
GetStringTask	0x081166E0
GetSwitch	0x08102F00
GetTask	0x08116890
GetTaskEventID	0x08174230
GetTaskMoney	0x08101270
GetTaskStatus	0x08175090
GetTaskTemp	0x08123A20
GetTaxCollected	0x08121AA0
GetTeam	0x08115630
GetTeamMember	0x08115530
GetTeamSize	0x08115480
GetTerminiFState	0x08110910
GetTicket	0x080FD490
GetTicketCount	0x080FBC00
GetTimerId	0x08116400
GetTireTime	0x08111120
GetTiredDegree	0x08111180
GetTmpCamp	0x0810BB70
GetTmpValue	0x08174F40
GetTong	0x0811AAB0
GetTongCamp	0x08114560
GetTongFigure	0x081145B0
GetTongLogData	0x08190BB0
GetTongMTask	0x0812DC60
GetTongMaster	0x081144F0
GetTongMemberCount	0x0811AC80
GetTongMemberID	0x08114600
GetTongName	0x0811AB30
GetTongTitle	0x0811AF00
GetTongWeek	0x08113E10
GetTotalItemCount	0x0811D980
GetTotalMagicLevel	0x08127DC0
GetTotalOffer	0x08114170
GetTotalSkill	0x0811C5D0
GetTradeTotal	0x080FBCF0
GetTripMode	0x080FBAC0
GetUUID	0x08111E00
GetVit	0x081117B0
GetWayPoint	0x08110CC0
GetWayPointName	0x08110AE0
GetWayPointPos	0x08105F30
GetWeekGoalOffer	0x08114390
GetWeeklyOffer	0x08114320
GetWharf	0x08106310
GetWharfCount	0x08106460
GetWharfName	0x08106250
GetWharfPos	0x08105D30
GetWharfPrice	0x081063E0
GetWorldPos	0x08128F30
GiveItemUI	0x0812BBA0
GoldItemDrop	0x08250931
HandItemIdx	0x081150F0
HaveBeginWar	0x08104770
HaveCommonItem	0x0811D140
HaveItem	0x0811D250
HaveMagic	0x0811C930
Helm	0x0826A5E9
HideNpc	0x08106FC0
Horse	0x0825560C
HostBeEnmity	0x08260565
HostBloodFallQuickly	0x08260506
HostBloodLess	0x082604F1
HostEnmity	0x08260558
HostEquipBreaking	0x082605B8
HostFriendInvite	0x08260595
HostKillAnimal	0x08260515
HostKillBoss	0x08260522
HostKillPartner	0x08260541
HostKillPlayer	0x08260531
HostLevelUp	0x0826054D
HostPkTooHigh	0x082605C6
HostTeamInvite	0x08260574
HostTradeInvite	0x08260584
IB_BuyItem_Ret	0x082444C7
IB_UseItem	0x082444C7
IL	0x0812E1D0
ITEM_Abrade2BrokenEquip	0x08154CB0
ITEM_BrokenEquip2Normal	0x08154B80
ITEM_CalcItemValue	0x081553F0
ITEM_DropRateItem	0x08154DE0
ITEM_ExportShop	0x08154440
ITEM_GetExpiredTime	0x08154540
ITEM_GetImmediaItemIndex	0x08155320
ITEM_GetItemExParam	0x081547D0
ITEM_GetItemInfo	0x081550F0
ITEM_GetItemRandSeed	0x081548E0
ITEM_GetItemVersion	0x08154990
ITEM_GetLatestItemVersion	0x081542C0
ITEM_GetLeftUsageTime	0x081545F0
ITEM_SetExpiredTime	0x08154A30
ITEM_SetExpiredTime2	0x08154460
ITEM_SetItemExParam	0x081546A0
ITEM_SetLeftUsageTime	0x08154FD0
ITEM_TransferItemValue	0x08155BB0
Include	0x08123B60
IncludeLib	0x0812E1D0
IncreasePoisonCount	0x0810B170
IncreasePotionCount	0x0810B170
IniFile_GetData	0x0814ABD0
IniFile_Load	0x0814AFB0
IniFile_Save	0x0814B160
IniFile_SetData	0x0814AAF0
IniFile_UnLoad	0x0814B0E0
InlayStarStone	0x0810A2C0
IsArenaBegin	0x08101620
IsBiaoCheAlive	0x0812D860
IsCaptain	0x08115690
IsDeath	0x0810AC70
IsDisabledChatCity	0x0812EEE0
IsDisabledChatWorld	0x081264B0
IsDisabledStall	0x0812EE70
IsDisabledTeam	0x0812EF50
IsDisabledUseHeart	0x0812ED70
IsDisabledUseTownP	0x0812EDF0
IsExpSkill	0x0812CF30
IsForbidChangePK	0x0810F540
IsGSHaveFreeMap	0x081270D0
IsHide	0x0810AD00
IsItemStackable	0x080FD320
IsMyItem	0x0811B4D0
IsNpcFeatureChanged	0x08103530
IsNpcHide	0x08106EC0
IsOpeningModule	0x08127940
IsOwnFeatureChanged	0x0810CAA0
IsSeriesAccrue	0x08100EF0
IsSeriesConquer	0x08100FB0
IsSigningUp	0x08115930
IsSpectator	0x0810BF00
IsTongWarMap	0x080FE700
JoinMission	0x08137E40
KickOutAccount	0x08118490
KickOutPlayer	0x08118370
KickOutSelf	0x081182C0
KillNpc	0x08117E00
KillNpcWithIdx	0x081181D0
KillPlayer	0x08117BC0
LEAGUE	0x08244489
LGM_ApplyAddMember	0x0815C720
LGM_ApplyRemoveMember	0x0815BAD0
LGM_CreateMemberObj	0x0815D0F0
LGM_FreeMemberObj	0x0815C5C0
LGM_SetMemberInfo	0x0815CCA0
LG_AddMemberToObj	0x0815DC80
LG_ApplyAddLeague	0x0815D210
LG_ApplyAppendLeagueTask	0x0815C3B0
LG_ApplyAppendMemberTask	0x0815C0A0
LG_ApplyDoScript	0x0815B700
LG_ApplyRemoveLeague	0x0815CED0
LG_ApplySetLeagueTask	0x0815C3D0
