uid	offset	size	flag	csize	path
0FA3E8E7	18878346	54589	32	44132	\spr\npcres\man\MA_HD_129_DE03.spr
0FA9C729	18922478	87241	32	71721	\spr\npcres\man\MA_RH_129_MG03.spr
0FC8070F	18994199	20096	32	17367	\spr\npcres\man\MA_HD_137_IJ01.spr
0FCE0DE8	19011566	18258	32	16102	\spr\npcres\man\MA_HR_139_HI01.spr
0FDC0A80	19027668	169522	32	143885	\spr\npcres\woman\FM_LW_200_HA02.spr
0FEDAAED	19171553	50117	32	43219	\spr\npcres\man\MA_RH_131_DE03.spr
0FF28673	19214772	59937	32	46120	\spr\npcres\woman\FM_RW_184_IJ04.spr
0FFA6672	19260892	43671	32	29997	\spr\npcres\woman\FM_RH_142_ST02.spr
1008A79C	19290889	59163	32	45740	\spr\npcres\woman\FM_RH_132_IJ02.spr
100AFB16	19336629	68702	32	59096	\spr\npcres\man\MA_RH_150_MG04.spr
100C8A4A	19395725	39261	32	33004	\spr\npcres\man\MA_HD_150_DE04.spr
100D63F9	19428729	76561	32	60014	\spr\npcres\man\MA_RH_139_RN03.spr
10112A66	19488743	34425	32	23565	\spr\npcres\woman\FM_LH_133_ST02.spr
102147E3	19512308	80698	32	67088	\spr\npcres\man\MA_HR_128_HD01.spr
102149C2	19579396	21675	32	14841	\spr\npcres\woman\FM_HD_140_ST04.spr
10256854	19594237	67701	32	57377	\spr\npcres\woman\FM_HR_131_AT06.spr
